Player,Height,Headed_Goals,Total_Goals,Minutes_Played,Percentage Headed Goals of total goals,Average % headed goals,Goals per min,,
Peter Crouch,201,11,20,5022,55,21.26782227,0.003982477,,
Zlatan Ibrahimovic,195,4,17,2539,23.52941176,,0.006695549,,
Andy Carroll,193,10,24,4520,41.66666667,,0.005309735,,
Alexander Sorloth,193,0,0,360,0,,0,,
Fernando Llorente,193,9,16,2678,56.25,,0.005974608,,
Dwight McNeil,193,0,0,1,0,,0,,
Marko Arnautovic,192,0,28,9782,0,,0.0028624,,
Olivier Giroud,192,21,49,6469,42.85714286,,0.007574586,,
Laurent Depoitre,191,2,6,1808,33.33333333,,0.003318584,,
Tammy Abraham,191,0,5,1773,0,,0.002820079,,
Joselu,191,1,8,2806,12.5,,0.002851033,,
Chris Wood,191,3,10,1740,30,,0.005747126,,
Collin Quaner,191,0,0,1272,0,,0,,
Romelu Lukaku,190,14,69,12185,20.28985507,,0.0056627,,
Christian Benteke,190,16,40,9271,40,,0.004314529,,
Steve Mounie,190,3,7,1858,42.85714286,,0.003767492,,
Alvaro Morata,189,7,11,2067,63.63636364,,0.005321722,,
Harry Kane,188,14,105,11563,13.33333333,,0.009080688,,
Charlie Austin,188,10,32,5246,31.25,,0.006099886,,
Daniel Sturridge,188,4,17,3045,23.52941176,,0.005582923,,
Islam Slimani,188,5,8,1649,62.5,,0.004851425,,
Oliver McBurnie,188,0,0,346,0,,0,,
Pierre-Emerick Aubameyang,187,0,10,1058,0,,0.009451796,,
Dominic Solanke,187,0,0,583,0,,0,,
Guido Carrillo,187,0,0,452,0,,0,,
Jurgen Locadia,187,0,1,223,0,,0.004484305,,
Aleksandar Mitrovic,187,4,10,2202,40,,0.004541326,,
Freddie Ladapo,187,0,0,16,0,,0,,
Salomn Rondn,186,9,24,8230,37.5,,0.00291616,,
Ashley Barnes,186,3,20,6356,15,,0.003146633,,
Sam Vokes,186,4,14,3596,28.57142857,,0.003893215,,
Stefano Okaka,186,1,5,1399,20,,0.003573981,,
Jay Rodriguez,185,2,12,4050,16.66666667,,0.002962963,,
Danny Welbeck,185,4,15,4220,26.66666667,,0.003554502,,
Yannick Bolasie,185,1,11,6758,9.090909091,,0.001627701,,
Kelechi Iheanacho,185,2,15,2102,13.33333333,,0.007136061,,
Hal Robson-Kanu,185,0,5,1505,0,,0.003322259,,
Michy Batshuayi,185,1,7,592,14.28571429,,0.011824324,,
Leonardo Ulloa,185,6,18,4091,33.33333333,,0.004399902,,
Julien Ngoy,185,0,0,63,0,,0,,
Divock Origi,185,3,12,2134,25,,0.005623243,,
Lys Mousset,184,1,2,850,50,15.13998228,0.002352941,,
Diafra Sakho,184,6,18,3760,33.33333333,,0.004787234,,
Leroy Sane,183,0,15,4208,0,,0.003564639,,
Son Heung-Min,183,2,30,5482,6.666666667,,0.005472455,,
Glenn Murray,183,8,22,3857,36.36363636,,0.005703915,,
Troy Deeney,183,5,28,8073,17.85714286,,0.003468351,,
Cenk Tosun,183,2,5,991,40,,0.005045409,,
Benik Afobe,183,3,10,2923,30,,0.003421143,,
Tyrese Campbell,183,0,0,75,0,,0,,
Jonathan Walters,183,6,17,5479,35.29411765,,0.003102756,,
Jordan Hugill,183,0,0,22,0,,0,,
Lukas Nmecha,183,0,0,14,0,,0,,
Vincent Janssen,183,0,2,833,0,,0.00240096,,
Jordan Ayew,182,3,15,6071,20,,0.002470763,,
Andre Carrillo,182,1,1,1536,100,,0.000651042,,
Oumar Niasse,182,0,12,2318,0,,0.005176877,,
Tomer Hemed,182,1,2,848,50,,0.002358491,,
Kevin Mirallas,182,1,15,4641,6.666666667,,0.003232062,,
