Rank,Player,Height (cm),Minutes played 17/18,Headed Goals Scored 17/18,Goals Scored 17/18,Minutes played 16/17,Headed Goals Scored 16/17,Goals Scored 16/17,Minutes played 15/16,Headed Goals Scored 15/16,Goals Scored 15/16,Minutes played 14/15,Headed Goals Scored 14/15,Goals Scored 14/15,Total Headed Goals Scored,Total Goals Scored,Total Minutes Played
1,Jamie Vardy,179,3255,3,20,2808,0,13,3139,2,24,2245,0,5,5,62,11447
2,Harry Kane,188,3083,6,30,2531,2,29,3368,1,25,2581,5,21,14,105,11563
3,Xherdan Shaqiri,169,3049,0,8,1707,0,4,2028,0,3,0,0,0,0,15,6784
4,Mohamed Salah,175,2921,2,32,0,0,0,0,0,0,30,0,0,2,32,2951
5,Romelu Lukaku,190,2869,3,16,3267,6,25,3174,4,18,2875,1,10,14,69,12185
6,Jordan Ayew,182,2856,1,7,863,1,1,2352,1,7,0,0,0,3,15,6071
7,Richarlison,179,2827,1,5,0,0,0,0,0,0,0,0,0,1,5,2827
8,Jay Rodriguez,185,2823,2,7,881,0,5,346,0,0,0,0,0,2,12,4050
9,Dusan Tadic,181,2810,0,6,2426,0,3,2290,0,7,2060,0,4,0,20,9586
10,Roberto Firmino,181,2776,3,15,3068,3,11,1981,1,10,0,0,0,7,36,7825
11,Salomn Rondn,186,2771,0,7,2895,5,8,2564,4,9,0,0,0,9,24,8230
12,Raheem Sterling,170,2592,0,18,2515,0,7,1925,0,6,3050,0,7,0,38,10082
13,Alexis Sanchez,169,2553,0,9,3223,3,24,2446,2,13,2949,2,16,7,62,11171
14,Wilfried Zaha,180,2551,0,9,3025,0,7,2492,0,2,1982,0,4,0,22,10050
15,Ayoze Perez,178,2494,0,8,0,0,0,2045,0,6,2369,2,7,2,21,6908
16,Joshua King,180,2453,0,8,2719,0,16,1924,0,6,0,0,0,0,30,7096
17,Eden Hazard,173,2432,0,12,3002,0,16,2190,0,4,3372,3,14,3,46,10996
18,Leroy Sane,183,2422,0,10,1786,0,5,0,0,0,0,0,0,0,15,4208
19,Marko Arnautovic,192,2322,0,11,2724,0,6,2818,0,11,1918,0,0,0,28,9782
20,Son Heung-Min,183,2309,2,12,2068,0,14,1105,0,4,0,0,0,2,30,5482
21,Wayne Rooney,176,2282,2,10,1539,1,5,2410,0,8,2876,0,12,3,35,9107
22,Christian Benteke,190,2236,2,3,3137,7,15,1518,3,9,2380,4,13,16,40,9271
23,Alexandre Lacazette,175,2211,2,14,0,0,0,0,0,0,0,0,0,2,14,2211
24,Sadio Mane,175,2206,0,10,2240,1,13,2604,1,11,2135,0,10,2,44,9185
25,Glenn Murray,183,2196,3,12,0,0,0,795,2,3,866,3,7,8,22,3857
26,Ashley Barnes,186,2157,1,9,1775,0,6,0,0,0,2424,2,5,3,20,6356
27,Alvaro Morata,189,2067,7,11,0,0,0,0,0,0,0,0,0,7,11,2067
28,Jose Izquierdo,171,1987,0,5,0,0,0,0,0,0,0,0,0,0,5,1987
28,Callum Wilson,180,1987,0,8,1363,2,6,772,0,5,0,0,0,2,19,4122
30,Sergio Aguero,173,1969,5,21,2403,2,20,2373,5,24,2539,1,26,13,91,9284
31,Dwight Gayle,177,1961,1,6,0,0,0,768,0,3,1090,0,5,1,14,3819
32,Willian,175,1883,1,6,1529,0,8,2749,0,5,2415,0,0,1,19,8576
33,Dominic Calvert-Lewin,176,1875,2,4,345,0,1,0,0,0,0,0,0,2,5,2220
34,Steve Mounie,190,1858,3,7,0,0,0,0,0,0,0,0,0,3,7,1858
35,Andre Ayew,176,1843,0,3,1440,2,6,2937,4,12,0,0,0,6,21,6220
36,Troy Deeney,183,1841,0,5,2941,2,10,3291,3,13,0,0,0,5,28,8073
37,Laurent Depoitre,191,1808,2,6,0,0,0,0,0,0,0,0,0,2,6,1808
38,Marcus Rashford,180,1807,2,7,1701,0,5,861,0,5,0,0,0,2,17,4369
39,Tammy Abraham,191,1720,0,5,0,0,0,53,0,0,0,0,0,0,5,1773
40,Joselu,191,1716,0,4,0,0,0,1090,1,4,0,0,0,1,8,2806
41,Gabriel Jesus,175,1671,3,13,650,1,7,0,0,0,0,0,0,4,20,2321
42,Chris Wood,191,1633,3,10,0,0,0,0,0,0,107,0,0,3,10,1740
43,Anthony Martial,181,1581,1,9,1559,0,4,2632,1,11,0,0,0,2,24,5772
44,Shane Long,178,1578,0,2,1248,1,3,2111,5,10,1539,0,5,6,20,6476
45,Peter Crouch,201,1555,3,5,1335,3,7,457,0,0,1675,5,8,11,20,5022
46,Chicharito,175,1543,2,8,0,0,0,23,0,0,45,0,0,2,8,1611
47,Andre Carrillo,182,1536,1,1,0,0,0,0,0,0,0,0,0,1,1,1536
48,Pedro,169,1523,0,4,2151,2,9,2040,0,7,0,0,0,2,20,5714
49,Andre Gray,178,1496,2,5,2267,0,9,0,0,0,0,0,0,2,14,3763
50,Elias Kachunga,178,1338,0,1,0,0,0,0,0,0,0,0,0,0,1,1338
51,Shinji Okazaki,174,1328,0,6,1572,0,3,2070,0,5,0,0,0,0,14,4970
52,Collin Quaner,191,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,1272
53,Theo Walcott,176,1216,0,3,1925,0,10,1374,0,5,441,0,5,0,23,4956
54,Danny Welbeck,185,1185,2,5,746,0,2,578,2,4,1711,0,4,4,15,4220
55,Jermain Defoe,171,1083,0,4,3322,0,15,2550,0,15,1457,0,4,0,38,8412
56,Oumar Niasse,182,1081,0,8,1095,0,4,142,0,0,0,0,0,0,12,2318
57,Manolo Gabbiadini,181,1074,0,5,731,0,4,0,0,0,0,0,0,0,9,1805
58,Pierre-Emerick Aubameyang,187,1058,0,10,0,0,0,0,0,0,0,0,0,0,10,1058
59,Charlie Austin,188,1030,3,7,939,1,6,208,1,1,3069,5,18,10,32,5246
60,Cenk Tosun,183,991,2,5,0,0,0,0,0,0,0,0,0,2,5,991
61,Olivier Giroud,192,984,4,7,1194,6,12,2424,7,16,1867,4,14,21,49,6469
62,Sam Vokes,186,980,2,4,2055,2,10,0,0,0,561,0,0,4,14,3596
63,Yannick Bolasie,185,854,0,1,1052,0,1,2076,1,5,2776,0,4,1,11,6758
64,Tomer Hemed,182,848,1,2,0,0,0,0,0,0,0,0,0,1,2,848
65,Kelechi Iheanacho,185,824,1,3,527,0,4,751,1,8,0,0,0,2,15,2102
66,Hal Robson-Kanu,185,822,0,2,683,0,3,0,0,0,0,0,0,0,5,1505
67,Andy Carroll,193,746,1,3,1313,2,7,1434,5,9,1027,2,5,10,24,4520
68,Wilfried Bony,180,704,0,2,690,1,2,1223,2,4,1598,0,11,3,19,4215
69,Jese,178,616,0,1,0,0,0,0,0,0,0,0,0,0,1,616
