Player,Height,Headed_Goals,Total_Goals,Minutes_Played
Peter Crouch,201,11,20,5022
Zlatan Ibrahimovic,195,4,17,2539
Andy Carroll,193,10,24,4520
Alexander Sorloth,193,0,0,360
Fernando Llorente,193,9,16,2678
Dwight McNeil,193,0,0,1
Marko Arnautovic,192,0,28,9782
Olivier Giroud,192,21,49,6469
Laurent Depoitre,191,2,6,1808
Tammy Abraham,191,0,5,1773
Joselu,191,1,8,2806
Chris Wood,191,3,10,1740
Collin Quaner,191,0,0,1272
Romelu Lukaku,190,14,69,12185
Christian Benteke,190,16,40,9271
Steve Mounie,190,3,7,1858
Alvaro Morata,189,7,11,2067
Harry Kane,188,14,105,11563
Charlie Austin,188,10,32,5246
Daniel Sturridge,188,4,17,3045
Islam Slimani,188,5,8,1649
Oliver McBurnie,188,0,0,346
Pierre-Emerick Aubameyang,187,0,10,1058
Dominic Solanke,187,0,0,583
Guido Carrillo,187,0,0,452
Jurgen Locadia,187,0,1,223
Aleksandar Mitrovic,187,4,10,2202
Freddie Ladapo,187,0,0,16
Salomn Rondn,186,9,24,8230
Ashley Barnes,186,3,20,6356
Sam Vokes,186,4,14,3596
Stefano Okaka,186,1,5,1399
Jay Rodriguez,185,2,12,4050
Danny Welbeck,185,4,15,4220
Yannick Bolasie,185,1,11,6758
Kelechi Iheanacho,185,2,15,2102
Hal Robson-Kanu,185,0,5,1505
Michy Batshuayi,185,1,7,592
Leonardo Ulloa,185,6,18,4091
Julien Ngoy,185,0,0,63
Divock Origi,185,3,12,2134
Lys Mousset,184,1,2,850
Diafra Sakho,184,6,18,3760
Leroy Sane,183,0,15,4208
Son Heung-Min,183,2,30,5482
Glenn Murray,183,8,22,3857
Troy Deeney,183,5,28,8073
Cenk Tosun,183,2,5,991
Benik Afobe,183,3,10,2923
Tyrese Campbell,183,0,0,75
Jonathan Walters,183,6,17,5479
Jordan Hugill,183,0,0,22
Lukas Nmecha,183,0,0,14
Vincent Janssen,183,0,2,833
Jordan Ayew,182,3,15,6071
Andre Carrillo,182,1,1,1536
Oumar Niasse,182,0,12,2318
Tomer Hemed,182,1,2,848
Kevin Mirallas,182,1,15,4641
Callum Hudson-Odoi,182,0,0,27
Dusan Tadic,181,0,20,9586
Roberto Firmino,181,7,36,7825
Anthony Martial,181,2,24,5772
Manolo Gabbiadini,181,0,9,1805
Jerome Sinclair,181,0,0,168
Wilfried Zaha,180,0,22,10050
Joshua King,180,0,30,7096
Callum Wilson,180,2,19,4122
Marcus Rashford,180,2,17,4369
Wilfried Bony,180,3,19,4215
Saido Berahino,180,2,18,6121
Jamie Vardy,179,5,62,11447
Richarlison,179,1,5,2827
Nordin Amrabat,179,0,0,2802
Ayoze Perez,178,2,21,6908
Shane Long,178,6,20,6476
Andre Gray,178,2,14,3763
Elias Kachunga,178,0,1,1338
Jese,178,0,1,616
Nikola Vlasic,178,0,0,575
Danny Ings,178,5,14,3638
Joe Lolley,178,0,1,219
Dwight Gayle,177,1,14,3819
Gerard Deulofeu,177,0,3,2279
Wayne Rooney,176,3,35,9107
Dominic Calvert-Lewin,176,2,5,2220
Andre Ayew,176,6,21,6220
Theo Walcott,176,0,23,4956
Mohamed Salah,175,2,32,2951
Alexandre Lacazette,175,2,14,2211
Sadio Mane,175,2,44,9185
Willian,175,1,19,8576
Gabriel Jesus,175,4,20,2321
Chicharito,175,2,8,1611
Sandro Ramirez,175,0,0,276
Reiss Nelson,175,0,0,146
Rolando Aarons,175,1,1,642
Eddie Nketiah,175,0,0,17
Ben Woodburn,175,0,0,89
Shinji Okazaki,174,0,14,4970
Ademola Lookman,174,0,1,443
Eden Hazard,173,3,46,10996
Sergio Aguero,173,13,91,9284
Jose Izquierdo,171,0,5,1987
Jermain Defoe,171,0,38,8412
Phil Foden,171,0,0,45
Raheem Sterling,170,0,38,10082
Bojan,170,1,14,3465
Nahki Wells,170,0,0,46
Sam Baldock,170,0,0,30
Levi Lumeka,170,0,0,25
Xherdan Shaqiri,169,0,15,6784
Alexis Sanchez,169,7,62,11171
Pedro,169,2,20,5714
Michael Obafemi,169,0,0,8
